"","name","bud","donor","profit","grant1","sofin1"
"1279","Автономная некоммерческая организация помощи детям """"""""Звездный дождь""""""""",5351,1115,2161,4599890.8,1343448
"1487","Автономная некоммерческая организация поддержки и развития инициатив молодых ученых и педагогов """"""""Молодежные научно-образовательные инициативы""""""""",0,5840,0,5989073,2044670
"1680","Автономная некоммерческая организация """"""""Центр помощи семьям детей с ограниченными возможностями здоровья """"""""СОДЕЙСТВИЕ""""""""",2436403,0,0,3254746.3,561769.6
"1733","Автономная некоммерческая организация """"""""Центр развития социальных инноваций """"""""Технологии возможностей""""""""",7407,7053,48026,4900420.7,6651899.2
"1789","Автономная некоммерческая организация социальных услуг """"""""Родительский центр """"""""Подсолнух""""""""",0,4209,310,4e+06,1530000
"1889","Автономная некоммерческая организация """"""""Театральная студия """"""""Мастерская Брусникина""""""""",500,23567,81707,5366188,4003500
"1920","Автономная некоммерческая организация Центр социального обслуживания населения """"""""Забота""""""""",7831,0,0,3201563,2057228
"1947","Благотворительный детский фонд """"""""Виктория""""""""",8471,47465,3709,4574160,1730664
"1965","Благотворительный фонд помощи детям, оставшимся без попечения родителей в областных и сельских домах ребенка """"""""Дорога жизни""""""""",5533,36631,0,3761492,1853000
"1971","Благотворительный фонд святого праведного Иоанна Кронштадтского",10216,97,0,7054730,3059600
"2053","Благотворительный фонд содействия развитию талантов и профессионального мастерства молодежи Владимира Спивакова в Республике Башкортостан",0,2290,0,5562014.1,980031.9
"2130","Благотворительный фонд содействия развитию социально-культурных инициатив и попечительсва """"""""Образ жизни""""""""",7278,50140,0,6888739.8,3750979
"2133","Фонд «Поддержка творческих проектов «Чир Чайаан»",0,10982,0,4996556,5660500
"2165","Благотворительный фонд помощи людям с нарушениями развития «Жизненный путь»",800,7070,9808,3022200.5,2406182.8
"2208","Благотворительный фонд «Спина бифида»",1306,0,0,6453198,1372000
"2231","Благотворительный фонд """"""""Дорога к дому""""""""",7553,75437,0,3655484.5,1643764
"2281","Фонд """"""""Культурная столица Поволжья""""""""",0,8230,0,4993759.6,1427500
"2309","Благотворительный Фонд поддержки людей с синдромом Дауна """"""""Синдром любви""""""""",1653,0,0,5661585.2,3065741.5
"2311","Некоммерческая организация """"""""Благотворительный ФОНД """"""""Даунсайд Ап""""""""",2485,0,1091,4313778,635228
"2385","Благотворительный фонд """"""""Сердолик""""""""",0,3869,17,3056130,2156250
"2386","Благотворительный фонд """"""""Сердолик""""""""",0,3869,17,3056130,2156250
"2392","Всемирный фонд природы",0,0,0,4433438,2646706
"2526","Фонд поддержки творческих инициатив """"""""Консолидация""""""""",7902,0,0,8e+06,3735000
"2532","Благотворительный фонд социальной помощи детям """"""""Расправь крылья!""""""""",5934,13549,393,4562856,705176
